0	 AFI_NNP are_VBP not_RB at_IN reading_VBG til_IN sunday_NNP this_DT sucks_VBZ !!!!!!!!!_. 
0	 Body_NN Of_IN Missing_VBG Northern_JJ Calif_NNP ._. Girl_NN Found_VBD :_: Police_NNP have_VBP found_VBN the_DT remains_NNS of_IN a_DT missing_VBG Northern_JJ California_NNP girl_NN .._: http://tr.im/imji_URL 
0	 have_VBP to_TO work_VB on_IN homework_NN tmrw_NN ..._: 
0	 Heroes_NNP is_VBZ losing_VBG it's_PRP momentum_NN ):_: come_VB on_IN writers_NNS pick_VBP it_PRP up_RP !!!_. 
0	 i_PRP close_VBP my_PRP$ eyes_NNS nd_CC i_PRP see_VBP your_PRP$ face_NN .._: :/_UH whens_WRB it_PRP gonna_VBG stop_VB ?_. ::_UH sigh_UH times_NNS 5_CD ::_: 
0	 i_PRP hate_VBP work_NN ._. havent_RB done_VBN much_RB today_NN ._. im_PRP trying_VBG !_. i_PRP have_VBP artists_NNS block_NN ._. cant_MD draw_VB 
0	 i_PRP think_VBP @JonathanRKnight_USR lost_VBD the_DT net_NN ?_. sure_JJ hope_VBP not_RB 
0	 is_VBZ cold_JJ 
0	 It_PRP still_RB wont_MD let_VB me_PRP log_VBP in_IN I_PRP know_VBP my_PRP$ user's_NNS thier_PRP$ cos_IN anth_NNP sent_VBD me_PRP a_DT friend_NN request_NN 
0	 just_RB 
0	 my_PRP$ housemaid_NN ........._: oh_UH I_PRP hate_VBP her_PRP :s_UH I_PRP guess_VBP she_PRP has_VBZ alzheimers_NNS she_PRP didn't_VBD even_RB know_VB MY_PRP$ NAME_NN 
0	 poor_NN mel_NN ._. Feeling_VBG your_PRP$ pain_NN ._. 
0	 srsly_RB I_PRP understood_VBP you_PRP first_JJ time_NN ._. I_PRP was_VBD just_RB think_VBP of_IN the_DT answer_NN for_IN 1.5_CD seconds_NNS ._. Repeating_VBG in_IN <_NNP English_NNP just_RB pissed_VBD me_PRP off_RP ._. 
0	 there_EX is_VBZ no_DT way_NN i_PRP can_MD go_VB to_TO school_NN today_NN im_PRP way_NN to_TO sick_JJ 
0	 Why_WRB do_VBP other_JJ pet_NN care_NN people_NNS try_VBP to_TO run_VB others_NNS out_IN of_IN business_NN ?_. Or_CC send_VB suspicious_JJ e-mails_NNS fishing_NN for_IN info_NN ?_. 
0	 wonder_VBP if_IN Jon_NNP lost_VBD the_DT net_NN 
0	 ;_: i_PRP miss_VBP family_NN guyyy_NN ._. 
0	 :_: @nikicheong_USR just_RB reminded_VBD me_PRP that_IN #KrispyKreme_HT http://www.krispykreme.com.my/_URL has_VBZ landed_VBN in_IN Msia_NNP and_CC has_VBZ an_DT ugly_JJ website_NN 
0	 :S_UH geen_UH How_WRB I_PRP Met_VBD Your_PRP$ Mother_NN vandaag_NN 
0	 ??????_. ?_. ??_. ????_. ????????_. ????_. ????_. ???????????_. ??????_. ???_. ?????_. -_: There_EX was_VBD a_DT problem_NN with_IN your_PRP$ picture_NN 
